"flight_date","records_count"
"2025-05-23","84933"
"2025-05-24","69839"
"2025-05-25","66736"
"2025-05-26","59807"
"2025-05-27","58718"
"2025-05-28","61682"
"2025-05-29","87177"
"2025-05-30","90998"
"2025-05-31","62811"
"2025-06-01","45089"
"2025-06-02","89986"
"2025-06-03","89316"
"2025-06-04","91774"
"2025-06-05","68439"
"2025-06-06","84364"
"2025-06-07","117955"
"2025-06-08","92860"
"2025-06-09","12168"
"2025-06-11","36201"
"2025-06-12","64805"
"2025-06-13","70429"
"2025-06-14","66756"
"2025-06-15","66408"
"2025-06-16","61054"
"2025-06-17","56925"
"2025-06-18","58581"
"2025-06-19","57807"
"2025-06-20","57742"
"2025-06-21","59015"
"2025-06-22","37114"
"2025-06-23","57328"
"2025-06-24","65141"
"2025-06-25","59784"
"2025-06-26","64159"
"2025-06-27","58221"
"2025-06-28","51460"
"2025-06-29","27745"
